species,CN,CL
Helicosphaera carteri,13,7.70
Helicosphaera carteri,19,10.43
Helicosphaera carteri,13,8.77
Helicosphaera carteri,13,8.42
Helicosphaera carteri,20,8.46
Helicosphaera carteri,14,8.28
Helicosphaera carteri,8,9.26
Helicosphaera carteri,16,9.26
Helicosphaera carteri,15,8.83
Helicosphaera carteri,18,8.60
Helicosphaera carteri,17,7.53
Helicosphaera carteri,22,8.48
Helicosphaera carteri,17,9.11
Helicosphaera carteri,17,8.76
Helicosphaera carteri,12,9.11
Helicosphaera carteri,17,8.25
Helicosphaera carteri,24,9.37
Helicosphaera carteri,11,9.88
Helicosphaera carteri,23,9.57
Helicosphaera carteri,15,9.20
Helicosphaera carteri,15,8.04
Helicosphaera carteri,17,8.23
